"dgp","idx_d","d","truth_seed","row","col","A_base"
"dgp1",3,15,20270003,11,11,0.309776343995853
"dgp1",3,15,20270003,12,11,0
"dgp1",3,15,20270003,13,11,0
"dgp1",3,15,20270003,14,11,0
"dgp1",3,15,20270003,15,11,0
"dgp1",3,15,20270003,1,12,0
"dgp1",3,15,20270003,2,12,0
"dgp1",3,15,20270003,3,12,0
"dgp1",3,15,20270003,4,12,0
"dgp1",3,15,20270003,5,12,0
"dgp1",3,15,20270003,6,12,0
"dgp1",3,15,20270003,7,12,0
"dgp1",3,15,20270003,8,12,0
"dgp1",3,15,20270003,9,12,0
"dgp1",3,15,20270003,10,12,0.309776343995853
"dgp1",3,15,20270003,11,12,0
"dgp1",3,15,20270003,12,12,0.309776343995853
"dgp1",3,15,20270003,13,12,0
"dgp1",3,15,20270003,14,12,0
"dgp1",3,15,20270003,15,12,0
"dgp1",3,15,20270003,1,13,0
"dgp1",3,15,20270003,2,13,0
"dgp1",3,15,20270003,3,13,0
"dgp1",3,15,20270003,4,13,0
"dgp1",3,15,20270003,5,13,0
"dgp1",3,15,20270003,6,13,0
"dgp1",3,15,20270003,7,13,0
"dgp1",3,15,20270003,8,13,0
"dgp1",3,15,20270003,9,13,0
"dgp1",3,15,20270003,10,13,0
"dgp1",3,15,20270003,11,13,0
"dgp1",3,15,20270003,12,13,0
"dgp1",3,15,20270003,13,13,0.309776343995853
"dgp1",3,15,20270003,14,13,0.309776343995853
"dgp1",3,15,20270003,15,13,0
"dgp1",3,15,20270003,1,14,0
"dgp1",3,15,20270003,2,14,0
"dgp1",3,15,20270003,3,14,0
"dgp1",3,15,20270003,4,14,0
"dgp1",3,15,20270003,5,14,0
"dgp1",3,15,20270003,6,14,0
"dgp1",3,15,20270003,7,14,0
"dgp1",3,15,20270003,8,14,0
"dgp1",3,15,20270003,9,14,0
"dgp1",3,15,20270003,10,14,0
"dgp1",3,15,20270003,11,14,0
"dgp1",3,15,20270003,12,14,0.309776343995853
"dgp1",3,15,20270003,13,14,0
"dgp1",3,15,20270003,14,14,0.309776343995853
"dgp1",3,15,20270003,15,14,0
"dgp1",3,15,20270003,1,15,0
"dgp1",3,15,20270003,2,15,0
"dgp1",3,15,20270003,3,15,0
"dgp1",3,15,20270003,4,15,0
"dgp1",3,15,20270003,5,15,0.309776343995853
"dgp1",3,15,20270003,6,15,0
"dgp1",3,15,20270003,7,15,0.309776343995853
"dgp1",3,15,20270003,8,15,0.309776343995853
"dgp1",3,15,20270003,9,15,0
"dgp1",3,15,20270003,10,15,0
"dgp1",3,15,20270003,11,15,0
"dgp1",3,15,20270003,12,15,0
"dgp1",3,15,20270003,13,15,0.309776343995853
"dgp1",3,15,20270003,14,15,0
"dgp1",3,15,20270003,15,15,0.309776343995853
"dgp1",4,20,20270004,1,1,0.220380745162752
"dgp1",4,20,20270004,2,1,0.220380745162752
"dgp1",4,20,20270004,3,1,0.220380745162752
"dgp1",4,20,20270004,4,1,0
"dgp1",4,20,20270004,5,1,0
"dgp1",4,20,20270004,6,1,0
"dgp1",4,20,20270004,7,1,0
"dgp1",4,20,20270004,8,1,0
"dgp1",4,20,20270004,9,1,0
"dgp1",4,20,20270004,10,1,0
"dgp1",4,20,20270004,11,1,0
"dgp1",4,20,20270004,12,1,0
"dgp1",4,20,20270004,13,1,0
"dgp1",4,20,20270004,14,1,0.220380745162752
"dgp1",4,20,20270004,15,1,0
"dgp1",4,20,20270004,16,1,0
"dgp1",4,20,20270004,17,1,0
"dgp1",4,20,20270004,18,1,0
"dgp1",4,20,20270004,19,1,0.220380745162752
"dgp1",4,20,20270004,20,1,0
"dgp1",4,20,20270004,1,2,0
"dgp1",4,20,20270004,2,2,0.220380745162752
"dgp1",4,20,20270004,3,2,0
"dgp1",4,20,20270004,4,2,0
"dgp1",4,20,20270004,5,2,0
"dgp1",4,20,20270004,6,2,0.220380745162752
"dgp1",4,20,20270004,7,2,0
"dgp1",4,20,20270004,8,2,0.220380745162752
"dgp1",4,20,20270004,9,2,0
"dgp1",4,20,20270004,10,2,0.220380745162752
"dgp1",4,20,20270004,11,2,0
"dgp1",4,20,20270004,12,2,0
"dgp1",4,20,20270004,13,2,0
"dgp1",4,20,20270004,14,2,0
"dgp1",4,20,20270004,15,2,0.220380745162752
"dgp1",4,20,20270004,16,2,0
"dgp1",4,20,20270004,17,2,0
"dgp1",4,20,20270004,18,2,0
"dgp1",4,20,20270004,19,2,0
"dgp1",4,20,20270004,20,2,0
"dgp1",4,20,20270004,1,3,0
"dgp1",4,20,20270004,2,3,0
"dgp1",4,20,20270004,3,3,0.220380745162752
"dgp1",4,20,20270004,4,3,0
"dgp1",4,20,20270004,5,3,0
"dgp1",4,20,20270004,6,3,0
"dgp1",4,20,20270004,7,3,0
"dgp1",4,20,20270004,8,3,0.220380745162752
"dgp1",4,20,20270004,9,3,0
"dgp1",4,20,20270004,10,3,0
"dgp1",4,20,20270004,11,3,0
"dgp1",4,20,20270004,12,3,0
"dgp1",4,20,20270004,13,3,0
"dgp1",4,20,20270004,14,3,0
"dgp1",4,20,20270004,15,3,0
"dgp1",4,20,20270004,16,3,0
"dgp1",4,20,20270004,17,3,0
"dgp1",4,20,20270004,18,3,0
"dgp1",4,20,20270004,19,3,0.220380745162752
"dgp1",4,20,20270004,20,3,0
"dgp1",4,20,20270004,1,4,0
"dgp1",4,20,20270004,2,4,0
"dgp1",4,20,20270004,3,4,0.220380745162752
"dgp1",4,20,20270004,4,4,0.220380745162752
"dgp1",4,20,20270004,5,4,0
"dgp1",4,20,20270004,6,4,0
"dgp1",4,20,20270004,7,4,0
"dgp1",4,20,20270004,8,4,0
"dgp1",4,20,20270004,9,4,0
"dgp1",4,20,20270004,10,4,0.220380745162752
"dgp1",4,20,20270004,11,4,0
"dgp1",4,20,20270004,12,4,0.220380745162752
"dgp1",4,20,20270004,13,4,0
"dgp1",4,20,20270004,14,4,0
"dgp1",4,20,20270004,15,4,0
"dgp1",4,20,20270004,16,4,0
"dgp1",4,20,20270004,17,4,0
"dgp1",4,20,20270004,18,4,0
"dgp1",4,20,20270004,19,4,0
"dgp1",4,20,20270004,20,4,0
"dgp1",4,20,20270004,1,5,0
"dgp1",4,20,20270004,2,5,0.220380745162752
"dgp1",4,20,20270004,3,5,0
"dgp1",4,20,20270004,4,5,0
"dgp1",4,20,20270004,5,5,0.220380745162752
"dgp1",4,20,20270004,6,5,0
"dgp1",4,20,20270004,7,5,0
"dgp1",4,20,20270004,8,5,0
"dgp1",4,20,20270004,9,5,0.220380745162752
"dgp1",4,20,20270004,10,5,0
"dgp1",4,20,20270004,11,5,0
"dgp1",4,20,20270004,12,5,0
"dgp1",4,20,20270004,13,5,0
"dgp1",4,20,20270004,14,5,0.220380745162752
"dgp1",4,20,20270004,15,5,0
"dgp1",4,20,20270004,16,5,0
"dgp1",4,20,20270004,17,5,0
"dgp1",4,20,20270004,18,5,0
"dgp1",4,20,20270004,19,5,0
"dgp1",4,20,20270004,20,5,0
"dgp1",4,20,20270004,1,6,0
"dgp1",4,20,20270004,2,6,0
"dgp1",4,20,20270004,3,6,0
"dgp1",4,20,20270004,4,6,0.220380745162752
"dgp1",4,20,20270004,5,6,0
"dgp1",4,20,20270004,6,6,0.220380745162752
"dgp1",4,20,20270004,7,6,0
"dgp1",4,20,20270004,8,6,0
"dgp1",4,20,20270004,9,6,0
"dgp1",4,20,20270004,10,6,0
"dgp1",4,20,20270004,11,6,0
"dgp1",4,20,20270004,12,6,0
"dgp1",4,20,20270004,13,6,0
"dgp1",4,20,20270004,14,6,0
"dgp1",4,20,20270004,15,6,0
"dgp1",4,20,20270004,16,6,0
"dgp1",4,20,20270004,17,6,0
"dgp1",4,20,20270004,18,6,0
"dgp1",4,20,20270004,19,6,0
"dgp1",4,20,20270004,20,6,0
"dgp1",4,20,20270004,1,7,0
"dgp1",4,20,20270004,2,7,0
"dgp1",4,20,20270004,3,7,0
"dgp1",4,20,20270004,4,7,0
"dgp1",4,20,20270004,5,7,0
"dgp1",4,20,20270004,6,7,0
