"dgp","idx_d","idx_T","rep","d","T_sample","truth_seed","data_seed"
"dgp1",1,5,31,5,1000,20270001,20365357
"dgp1",1,5,32,5,1000,20270001,20365358
"dgp1",1,5,33,5,1000,20270001,20365359
"dgp1",1,5,34,5,1000,20270001,20365360
"dgp1",1,5,35,5,1000,20270001,20365361
"dgp1",1,5,36,5,1000,20270001,20365362
"dgp1",1,5,37,5,1000,20270001,20365363
"dgp1",1,5,38,5,1000,20270001,20365364
"dgp1",1,5,39,5,1000,20270001,20365365
"dgp1",1,5,40,5,1000,20270001,20365366
"dgp1",1,5,41,5,1000,20270001,20365367
"dgp1",1,5,42,5,1000,20270001,20365368
"dgp1",1,5,43,5,1000,20270001,20365369
"dgp1",1,5,44,5,1000,20270001,20365370
"dgp1",1,5,45,5,1000,20270001,20365371
"dgp1",1,5,46,5,1000,20270001,20365372
"dgp1",1,5,47,5,1000,20270001,20365373
"dgp1",1,5,48,5,1000,20270001,20365374
"dgp1",1,5,49,5,1000,20270001,20365375
"dgp1",1,5,50,5,1000,20270001,20365376
"dgp1",1,5,51,5,1000,20270001,20365377
"dgp1",1,5,52,5,1000,20270001,20365378
"dgp1",1,5,53,5,1000,20270001,20365379
"dgp1",1,5,54,5,1000,20270001,20365380
"dgp1",1,5,55,5,1000,20270001,20365381
"dgp1",1,5,56,5,1000,20270001,20365382
"dgp1",1,5,57,5,1000,20270001,20365383
"dgp1",1,5,58,5,1000,20270001,20365384
"dgp1",1,5,59,5,1000,20270001,20365385
"dgp1",1,5,60,5,1000,20270001,20365386
"dgp1",1,5,61,5,1000,20270001,20365387
"dgp1",1,5,62,5,1000,20270001,20365388
"dgp1",1,5,63,5,1000,20270001,20365389
"dgp1",1,5,64,5,1000,20270001,20365390
"dgp1",1,5,65,5,1000,20270001,20365391
"dgp1",1,5,66,5,1000,20270001,20365392
"dgp1",1,5,67,5,1000,20270001,20365393
"dgp1",1,5,68,5,1000,20270001,20365394
"dgp1",1,5,69,5,1000,20270001,20365395
"dgp1",1,5,70,5,1000,20270001,20365396
"dgp1",1,5,71,5,1000,20270001,20365397
"dgp1",1,5,72,5,1000,20270001,20365398
"dgp1",1,5,73,5,1000,20270001,20365399
"dgp1",1,5,74,5,1000,20270001,20365400
