"tuning","dgp","method","n_cells","avg_rank_frob","n_ranked_frob","avg_rank_rmfe","n_ranked_rmfe","avg_rank_hamming","n_ranked_hamming","avg_rank_F1","n_ranked_F1","avg_rank_off_hamming","n_ranked_off_hamming","avg_rank_off_F1","n_ranked_off_F1"
"theory","dgp3","L-Rlx",36,1.80555555555556,36,1.27777777777778,36,3.66666666666667,36,3.61111111111111,36,3.66666666666667,36,3.66666666666667,36
"theory","dgp3","L-Des",36,6.51388888888889,36,5.34722222222222,36,10.5,36,6.5,36,10.5,36,6.22222222222222,36
"theory","dgp3","A",36,8.52777777777778,36,9.26388888888889,36,6.625,36,8.18055555555556,36,6.625,36,8.23611111111111,36
"theory","dgp3","A-Th",36,9.36111111111111,36,10.0138888888889,36,7.66666666666667,36,9.41666666666667,36,7.66666666666667,36,9.52777777777778,36
"theory","dgp3","A-Ref",36,8.61111111111111,36,8.47222222222222,36,6.625,36,8.18055555555556,36,6.625,36,8.23611111111111,36
"theory","dgp3","A-Rlx",36,7.91666666666667,36,8.22222222222222,36,6.625,36,8.18055555555556,36,6.625,36,8.23611111111111,36
"theory","dgp3","A-Des",36,6.43055555555556,36,5.20833333333333,36,10.5,36,6.5,36,10.5,36,6.22222222222222,36
"theory","dgp3","ScL",36,5.30555555555556,36,5.86111111111111,36,2.56944444444444,36,3.16666666666667,36,2.56944444444444,36,3.22222222222222,36
"cv","dgp1","L",36,5.11111111111111,36,5.08333333333333,36,8,36,7.72222222222222,36,8,36,7.52777777777778,36
"cv","dgp1","L-Th",36,6.16666666666667,36,6.27777777777778,36,2.79166666666667,36,3.20833333333333,36,2.79166666666667,36,3.625,36
"cv","dgp1","L-Ref",36,8.36111111111111,36,8.30555555555556,36,8,36,7.72222222222222,36,8,36,7.52777777777778,36
"cv","dgp1","L-Rlx",36,5.80555555555556,36,5.88888888888889,36,8,36,7.72222222222222,36,8,36,7.52777777777778,36
"cv","dgp1","L-Des",36,10.5277777777778,36,10.4722222222222,36,10.5,36,10.5,36,10.5,36,10.3888888888889,36
"cv","dgp1","A",36,2.11111111111111,36,2.13888888888889,36,3.95833333333333,36,3.94444444444444,36,3.95833333333333,36,3.97222222222222,36
"cv","dgp1","A-Th",36,2,36,2.13888888888889,36,2.77777777777778,36,2.91666666666667,36,2.77777777777778,36,2.97222222222222,36
"cv","dgp1","A-Ref",36,4.5,36,4.19444444444444,36,3.95833333333333,36,3.94444444444444,36,3.95833333333333,36,3.97222222222222,36
"cv","dgp1","A-Rlx",36,2.83333333333333,36,2.86111111111111,36,3.95833333333333,36,3.94444444444444,36,3.95833333333333,36,3.97222222222222,36
"cv","dgp1","A-Des",36,10.4722222222222,36,10.5277777777778,36,10.5,36,10.5,36,10.5,36,10.3888888888889,36
"cv","dgp1","ScL",36,8.11111111111111,36,8.11111111111111,36,3.55555555555556,36,3.875,36,3.55555555555556,36,4.125,36
"cv","dgp2","L",36,4.55555555555556,36,4.36111111111111,36,8,36,7.86111111111111,36,8,36,7.77777777777778,36
"cv","dgp2","L-Th",36,6.02777777777778,36,6.27777777777778,36,2.86111111111111,36,3.55555555555556,36,2.86111111111111,36,4.11111111111111,36
"cv","dgp2","L-Ref",36,8.16666666666667,36,8.05555555555556,36,8,36,7.86111111111111,36,8,36,7.77777777777778,36
"cv","dgp2","L-Rlx",36,5.69444444444444,36,5.75,36,8,36,7.86111111111111,36,8,36,7.77777777777778,36
"cv","dgp2","L-Des",36,10.2361111111111,36,10.0138888888889,36,10.5,36,10.5,36,10.5,36,10.3888888888889,36
"cv","dgp2","A",36,2.11111111111111,36,2.11111111111111,36,4.19444444444444,36,4.06944444444444,36,4.19444444444444,36,3.91666666666667,36
"cv","dgp2","A-Th",36,2.08333333333333,36,2.44444444444444,36,3.05555555555556,36,3.18055555555556,36,3.05555555555556,36,3.02777777777778,36
"cv","dgp2","A-Ref",36,5.02777777777778,36,5.22222222222222,36,4.19444444444444,36,4.06944444444444,36,4.19444444444444,36,3.91666666666667,36
"cv","dgp2","A-Rlx",36,2.88888888888889,36,3.02777777777778,36,4.19444444444444,36,4.06944444444444,36,4.19444444444444,36,3.91666666666667,36
"cv","dgp2","A-Des",36,10.2083333333333,36,9.98611111111111,36,10.5,36,10.5,36,10.5,36,10.3888888888889,36
"cv","dgp2","ScL",36,9,36,8.75,36,2.5,36,2.47222222222222,36,2.5,36,3,36
"cv","dgp3","L",36,2.86111111111111,36,3.11111111111111,36,7.06944444444444,36,6.30555555555556,36,7.06944444444444,36,6.30555555555556,36
"cv","dgp3","L-Th",36,5.61111111111111,36,7.75,36,4.51388888888889,36,5.59722222222222,36,4.51388888888889,36,5.76388888888889,36
"cv","dgp3","L-Ref",36,7.88888888888889,36,7.36111111111111,36,7.06944444444444,36,6.30555555555556,36,7.06944444444444,36,6.30555555555556,36
"cv","dgp3","L-Rlx",36,4.38888888888889,36,3.77777777777778,36,7.06944444444444,36,6.30555555555556,36,7.06944444444444,36,6.30555555555556,36
"cv","dgp3","L-Des",36,9.91666666666667,36,9.33333333333333,36,10.5,36,9.30555555555556,36,10.5,36,9.05555555555556,36
"cv","dgp3","A",36,3.04166666666667,36,2.66666666666667,36,4.05555555555556,36,4.66666666666667,36,4.05555555555556,36,4.63888888888889,36
"cv","dgp3","A-Th",36,3.23611111111111,36,3.27777777777778,36,3.77777777777778,36,4.5,36,3.77777777777778,36,4.58333333333333,36
"cv","dgp3","A-Ref",36,6.36111111111111,36,5.66666666666667,36,4.05555555555556,36,4.66666666666667,36,4.05555555555556,36,4.63888888888889,36
"cv","dgp3","A-Rlx",36,4.36111111111111,36,3.88888888888889,36,4.05555555555556,36,4.66666666666667,36,4.05555555555556,36,4.63888888888889,36
"cv","dgp3","A-Des",36,9.75,36,9.27777777777778,36,10.5,36,9.30555555555556,36,10.5,36,9.05555555555556,36
"cv","dgp3","ScL",36,8.58333333333333,36,9.88888888888889,36,3.33333333333333,36,4.375,36,3.33333333333333,36,4.70833333333333,36
