"tuning","T_sample","method","n_cells","avg_rank_frob","n_ranked_frob","avg_rank_rmfe","n_ranked_rmfe","avg_rank_hamming","n_ranked_hamming","avg_rank_F1","n_ranked_F1","avg_rank_off_hamming","n_ranked_off_hamming","avg_rank_off_F1","n_ranked_off_F1"
"theory",2000,"A",18,9.97222222222222,18,10.1666666666667,18,4.38888888888889,18,4.75,18,4.38888888888889,18,4.75,18
"theory",2000,"A-Th",18,10.75,18,10.8333333333333,18,5.72222222222222,18,7.52777777777778,18,5.72222222222222,18,7.63888888888889,18
"theory",2000,"A-Ref",18,6.88888888888889,18,6.5,18,4.38888888888889,18,4.75,18,4.38888888888889,18,4.75,18
"theory",2000,"A-Rlx",18,8.44444444444444,18,8.5,18,4.38888888888889,18,4.75,18,4.38888888888889,18,4.75,18
"theory",2000,"A-Des",18,5.91666666666667,18,5.77777777777778,18,10.5,18,9.72222222222222,18,10.5,18,9.66666666666667,18
"theory",2000,"ScL",18,5.88888888888889,18,5.83333333333333,18,3.22222222222222,18,3.11111111111111,18,3.22222222222222,18,3.11111111111111,18
"cv",100,"L",18,1.94444444444444,18,1.66666666666667,18,6.94444444444444,18,6.11111111111111,18,6.94444444444444,18,5.66666666666667,18
"cv",100,"L-Th",18,6.16666666666667,18,8.05555555555556,18,5.61111111111111,18,7.61111111111111,18,5.61111111111111,18,8.55555555555556,18
"cv",100,"L-Ref",18,8.66666666666667,18,8.27777777777778,18,6.94444444444444,18,6.11111111111111,18,6.94444444444444,18,5.66666666666667,18
"cv",100,"L-Rlx",18,3.72222222222222,18,3.22222222222222,18,6.94444444444444,18,6.11111111111111,18,6.94444444444444,18,5.66666666666667,18
"cv",100,"L-Des",18,10.3888888888889,18,10.1944444444444,18,10.5,18,9.11111111111111,18,10.5,18,8.66666666666667,18
"cv",100,"A",18,3,18,2.69444444444444,18,4.13888888888889,18,4.30555555555556,18,4.13888888888889,18,4.22222222222222,18
