"snr","tuning","T_sample","method","n_cells","avg_rank_frob","avg_rank_rmfe","avg_rank_hamming","avg_rank_F1","avg_rank_off_hamming","avg_rank_off_F1"
2,"theory",1000,"L-Th",18,5.11111111111111,5.61111111111111,1.83333333333333,1.83333333333333,1.83333333333333,1.83333333333333
2,"theory",1000,"L-Ref",18,1.66666666666667,1.66666666666667,6.33333333333333,5.80555555555556,6.33333333333333,5.80555555555556
2,"theory",1000,"L-Rlx",18,2.27777777777778,2.16666666666667,6.33333333333333,5.80555555555556,6.33333333333333,5.80555555555556
2,"theory",1000,"L-Des",18,5.83333333333333,6.11111111111111,10.5,10.2222222222222,10.5,10.2222222222222
2,"theory",1000,"A",18,10.1388888888889,10.1388888888889,3.94444444444444,4.55555555555556,3.94444444444444,4.66666666666667
2,"theory",1000,"A-Th",18,10.8611111111111,10.8611111111111,6.08333333333333,6.55555555555556,6.08333333333333,6.55555555555556
2,"theory",1000,"A-Ref",18,4.88888888888889,5,3.94444444444444,4.55555555555556,3.94444444444444,4.66666666666667
2,"theory",1000,"A-Rlx",18,8.66666666666667,8.66666666666667,3.94444444444444,4.55555555555556,3.94444444444444,4.66666666666667
2,"theory",1000,"A-Des",18,5.94444444444444,5.88888888888889,10.5,10.2222222222222,10.5,10.2222222222222
2,"theory",1000,"ScL",18,4.5,4.66666666666667,6.25,6.08333333333333,6.25,5.75
2,"theory",2000,"L",18,6.27777777777778,5.11111111111111,7.30555555555556,7.30555555555556,7.30555555555556,7.19444444444444
2,"theory",2000,"L-Th",18,5.27777777777778,5.16666666666667,2,2,2,2
2,"theory",2000,"L-Ref",18,1.72222222222222,2.44444444444444,7.30555555555556,7.30555555555556,7.30555555555556,7.19444444444444
2,"theory",2000,"L-Rlx",18,2.33333333333333,2.55555555555556,7.30555555555556,7.30555555555556,7.30555555555556,7.19444444444444
2,"theory",2000,"L-Des",18,5.61111111111111,6.33333333333333,10.5,10.5,10.5,10.5
2,"theory",2000,"A",18,10.2777777777778,10.25,3.25,3.25,3.25,3.25
2,"theory",2000,"A-Th",18,10.7222222222222,10.75,4.36111111111111,4.36111111111111,4.36111111111111,4.69444444444444
2,"theory",2000,"A-Ref",18,4.5,4.83333333333333,3.25,3.25,3.25,3.25
2,"theory",2000,"A-Rlx",18,8.77777777777778,8.33333333333333,3.25,3.25,3.25,3.25
2,"theory",2000,"A-Des",18,5.94444444444444,6,10.5,10.5,10.5,10.5
2,"theory",2000,"ScL",18,4.55555555555556,4.22222222222222,6.97222222222222,6.97222222222222,6.97222222222222,6.97222222222222
2,"cv",100,"L",18,5.05555555555556,4.83333333333333,8,8,8,8
2,"cv",100,"L-Th",18,5.11111111111111,5.16666666666667,1.36111111111111,1.27777777777778,1.36111111111111,1.5
2,"cv",100,"L-Ref",18,8.27777777777778,8.38888888888889,8,8,8,8
2,"cv",100,"L-Rlx",18,5.27777777777778,5.38888888888889,8,8,8,8
2,"cv",100,"L-Des",18,10.4444444444444,10.4444444444444,10.5,10.5,10.5,10.5
2,"cv",100,"A",18,3.27777777777778,2.66666666666667,4.30555555555556,4.25,4.30555555555556,4.19444444444444
2,"cv",100,"A-Th",18,2.72222222222222,2.55555555555556,2.72222222222222,2.83333333333333,2.72222222222222,2.77777777777778
2,"cv",100,"A-Ref",18,4.55555555555556,5.11111111111111,4.30555555555556,4.25,4.30555555555556,4.19444444444444
2,"cv",100,"A-Rlx",18,2.22222222222222,2.61111111111111,4.30555555555556,4.25,4.30555555555556,4.19444444444444
2,"cv",100,"A-Des",18,9.88888888888889,9.77777777777778,10.5,10.5,10.5,10.5
2,"cv",100,"ScL",18,9.16666666666667,9.05555555555556,4,4.13888888888889,4,4.13888888888889
2,"cv",200,"L",18,6.16666666666667,5.72222222222222,8,8,8,8
2,"cv",200,"L-Th",18,4.77777777777778,5.27777777777778,2.11111111111111,2.11111111111111,2.11111111111111,2.11111111111111
2,"cv",200,"L-Ref",18,8.33333333333333,8.33333333333333,8,8,8,8
2,"cv",200,"L-Rlx",18,6.16666666666667,6.33333333333333,8,8,8,8
2,"cv",200,"L-Des",18,10.6111111111111,10.5555555555556,10.5,10.5,10.5,10.5
2,"cv",200,"A",18,2.83333333333333,2.44444444444444,3.97222222222222,3.97222222222222,3.97222222222222,3.97222222222222
2,"cv",200,"A-Th",18,2.27777777777778,2.11111111111111,1.97222222222222,1.97222222222222,1.97222222222222,1.97222222222222
2,"cv",200,"A-Ref",18,4,4.38888888888889,3.97222222222222,3.97222222222222,3.97222222222222,3.97222222222222
2,"cv",200,"A-Rlx",18,2,2.11111111111111,3.97222222222222,3.97222222222222,3.97222222222222,3.97222222222222
2,"cv",200,"A-Des",18,9.72222222222222,9.77777777777778,10.5,10.5,10.5,10.5
2,"cv",200,"ScL",18,9.11111111111111,8.94444444444444,5,5,5,5
2,"cv",300,"L",18,6.44444444444444,6.33333333333333,8,8,8,8
2,"cv",300,"L-Th",18,4.94444444444444,5.61111111111111,2.25,2.25,2.25,2.25
2,"cv",300,"L-Ref",18,8.27777777777778,7.94444444444444,8,8,8,8
2,"cv",300,"L-Rlx",18,6.44444444444444,6.55555555555556,8,8,8,8
2,"cv",300,"L-Des",18,10.6111111111111,10.6111111111111,10.5,10.5,10.5,10.5
2,"cv",300,"A",18,2.88888888888889,2.27777777777778,3.75,3.75,3.75,3.75
2,"cv",300,"A-Th",18,2.11111111111111,2.38888888888889,2.27777777777778,2.27777777777778,2.27777777777778,2.27777777777778
