"snr","tuning","d","method","n_cells","avg_rank_frob","avg_rank_rmfe","avg_rank_hamming","avg_rank_F1","avg_rank_off_hamming","avg_rank_off_F1"
1,"cv",15,"A-Th",18,2,2.44444444444444,2.44444444444444,2.19444444444444,2.44444444444444,2.19444444444444
1,"cv",15,"A-Ref",18,4.5,3.72222222222222,3.80555555555556,3.88888888888889,3.80555555555556,3.88888888888889
1,"cv",15,"A-Rlx",18,2.44444444444444,2.16666666666667,3.80555555555556,3.88888888888889,3.80555555555556,3.88888888888889
1,"cv",15,"A-Des",18,9.72222222222222,9.72222222222222,10.5,10.5,10.5,10.5
1,"cv",15,"ScL",18,8.88888888888889,8.88888888888889,5.30555555555556,5.27777777777778,5.30555555555556,5.27777777777778
1,"cv",20,"L",18,4.88888888888889,4.94444444444444,8,7.91666666666667,8,7.88888888888889
1,"cv",20,"L-Th",18,5.16666666666667,5.88888888888889,1.61111111111111,2.19444444444444,1.61111111111111,2.44444444444444
1,"cv",20,"L-Ref",18,8.27777777777778,8.38888888888889,8,7.91666666666667,8,7.88888888888889
1,"cv",20,"L-Rlx",18,6.05555555555556,5.88888888888889,8,7.91666666666667,8,7.88888888888889
1,"cv",20,"L-Des",18,10.5555555555556,10.4444444444444,10.5,10.5,10.5,10.5
1,"cv",20,"A",18,2.58333333333333,2,4.08333333333333,3.97222222222222,4.08333333333333,3.80555555555556
1,"cv",20,"A-Th",18,2.19444444444444,2.44444444444444,2.30555555555556,2.36111111111111,2.30555555555556,2.47222222222222
1,"cv",20,"A-Ref",18,4.72222222222222,4.61111111111111,4.08333333333333,3.97222222222222,4.08333333333333,3.80555555555556
1,"cv",20,"A-Rlx",18,2.61111111111111,2.55555555555556,4.08333333333333,3.97222222222222,4.08333333333333,3.80555555555556
1,"cv",20,"A-Des",18,9.88888888888889,9.77777777777778,10.5,10.5,10.5,10.5
1,"cv",20,"ScL",18,9.05555555555556,9.05555555555556,4.83333333333333,4.77777777777778,4.83333333333333,5
1,"cv",25,"L",18,4.72222222222222,4.72222222222222,8,7.83333333333333,8,7.83333333333333
1,"cv",25,"L-Th",18,5.11111111111111,5.94444444444444,1.86111111111111,2.38888888888889,1.86111111111111,2.44444444444444
1,"cv",25,"L-Ref",18,8.33333333333333,8.38888888888889,8,7.83333333333333,8,7.83333333333333
1,"cv",25,"L-Rlx",18,5.94444444444444,5.88888888888889,8,7.83333333333333,8,7.83333333333333
1,"cv",25,"L-Des",18,10.5555555555556,10.5,10.5,10.5,10.5,10.5
1,"cv",25,"A",18,2.5,2.25,4.02777777777778,3.91666666666667,4.02777777777778,3.94444444444444
1,"cv",25,"A-Th",18,2.05555555555556,2.52777777777778,2.44444444444444,2.47222222222222,2.44444444444444,2.38888888888889
