"snr","tuning","dgp","d","T_sample","method","rank_frob","rank_rmfe","rank_hamming","rank_F1","rank_off_hamming","rank_off_F1"
1,"theory","dgp1",15,500,"L-Rlx",2,2,8,8,8,8
1,"theory","dgp1",15,500,"L-Des",9,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",15,500,"A",10,10.5,3,3,3,3
1,"theory","dgp1",15,500,"A-Th",11,10.5,3,3,3,3
1,"theory","dgp1",15,500,"A-Ref",1,1,3,3,3,3
1,"theory","dgp1",15,500,"A-Rlx",7,9,3,3,3,3
1,"theory","dgp1",15,500,"A-Des",8,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",15,500,"ScL",6,5,6,6,6,6
1,"theory","dgp1",15,1000,"L",4,4,8,8,8,8
1,"theory","dgp1",15,1000,"L-Th",3,3,3,3,3,3
1,"theory","dgp1",15,1000,"L-Ref",5,6,8,8,8,8
1,"theory","dgp1",15,1000,"L-Rlx",2,2,8,8,8,8
1,"theory","dgp1",15,1000,"L-Des",9,9,10.5,10.5,10.5,10.5
1,"theory","dgp1",15,1000,"A",10.5,10.5,3,3,3,3
1,"theory","dgp1",15,1000,"A-Th",10.5,10.5,3,3,3,3
1,"theory","dgp1",15,1000,"A-Ref",1,1,3,3,3,3
1,"theory","dgp1",15,1000,"A-Rlx",7,7,3,3,3,3
1,"theory","dgp1",15,1000,"A-Des",8,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",15,1000,"ScL",6,5,6,6,6,6
1,"theory","dgp1",15,2000,"L",4,5,8,8,8,8
1,"theory","dgp1",15,2000,"L-Th",3,4,3,3,3,3
1,"theory","dgp1",15,2000,"L-Ref",6,2,8,8,8,8
1,"theory","dgp1",15,2000,"L-Rlx",2,3,8,8,8,8
1,"theory","dgp1",15,2000,"L-Des",9,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",15,2000,"A",10.5,10.5,3,3,3,3
1,"theory","dgp1",15,2000,"A-Th",10.5,10.5,3,3,3,3
1,"theory","dgp1",15,2000,"A-Ref",1,1,3,3,3,3
1,"theory","dgp1",15,2000,"A-Rlx",7,7,3,3,3,3
1,"theory","dgp1",15,2000,"A-Des",8,9,10.5,10.5,10.5,10.5
1,"theory","dgp1",15,2000,"ScL",5,6,6,6,6,6
1,"theory","dgp1",20,100,"L",3,3,4,4,4,4
1,"theory","dgp1",20,100,"L-Th",5,5,2,2,2,2
1,"theory","dgp1",20,100,"L-Ref",2,2,4,4,4,4
1,"theory","dgp1",20,100,"L-Rlx",1,1,4,4,4,4
1,"theory","dgp1",20,100,"L-Des",7,7,10.5,10.5,10.5,9.5
1,"theory","dgp1",20,100,"A",10,10,7,7,7,7
1,"theory","dgp1",20,100,"A-Th",11,11,9,9,9,11
1,"theory","dgp1",20,100,"A-Ref",9,9,7,7,7,7
1,"theory","dgp1",20,100,"A-Rlx",8,8,7,7,7,7
1,"theory","dgp1",20,100,"A-Des",6,6,10.5,10.5,10.5,9.5
1,"theory","dgp1",20,100,"ScL",4,4,1,1,1,1
1,"theory","dgp1",20,200,"L",4,4,7,4,7,4
1,"theory","dgp1",20,200,"L-Th",3,3,1,1,1,1
1,"theory","dgp1",20,200,"L-Ref",2,2,7,4,7,4
1,"theory","dgp1",20,200,"L-Rlx",1,1,7,4,7,4
1,"theory","dgp1",20,200,"L-Des",7,6,10.5,10.5,10.5,9.5
1,"theory","dgp1",20,200,"A",10,10,4,7,4,7
